Match_id,IPL_year,Match_Info,Match_Date,Match_Team,Match_Result,Match_Cricbuzz_URL,Stadium,Location,Highlights_available
9369579,2015,41st Match,2015-05-07,RAJASTHAN ROYALS vs SUNRISERS HYDERABAD,Sunrisers Hyderabad won by 7 runs,https://www.cricbuzz.com/cricket-scores/14635/rr-vs-srh-41st-match-indian-premier-league-2015,Brabourne Stadium,Mumbai,False
5353816,2015,42nd Match,2015-05-07,KOLKATA KNIGHT RIDERS vs DELHI CAPITALS,Kolkata Knight Riders won by 13 runs,https://www.cricbuzz.com/cricket-scores/14622/kkr-vs-dc-42nd-match-indian-premier-league-2015,Eden Gardens,Kolkata,False
8027552,2015,43rd Match,2015-05-08,CHENNAI SUPER KINGS vs MUMBAI INDIANS,Mumbai Indians won by 6 wkts,https://www.cricbuzz.com/cricket-scores/14636/csk-vs-mi-43rd-match-indian-premier-league-2015,MA Chidambaram Stadium,Chennai,False
9448224,2015,44th Match,2015-05-09,KOLKATA KNIGHT RIDERS vs KINGS XI PUNJAB,Kolkata Knight Riders won by 1 wkt,https://www.cricbuzz.com/cricket-scores/14637/kkr-vs-kxip-44th-match-indian-premier-league-2015,Eden Gardens,Kolkata,False
3648216,2015,45th Match,2015-05-09,DELHI CAPITALS vs SUNRISERS HYDERABAD,Sunrisers Hyderabad won by 6 runs,https://www.cricbuzz.com/cricket-scores/14638/dc-vs-srh-45th-match-indian-premier-league-2015,Shaheed Veer Narayan Singh International Stadium,Raipur,False
9022307,2015,46th Match,2015-05-10,MUMBAI INDIANS vs ROYAL CHALLENGERS BANGALORE,Royal Challengers Bangalore won by 39 runs,https://www.cricbuzz.com/cricket-scores/14639/mi-vs-rcb-46th-match-indian-premier-league-2015,Wankhede Stadium,Mumbai,False
3465086,2015,47th Match,2015-05-10,CHENNAI SUPER KINGS vs RAJASTHAN ROYALS,Chennai Super Kings won by 12 runs,https://www.cricbuzz.com/cricket-scores/14640/csk-vs-rr-47th-match-indian-premier-league-2015,MA Chidambaram Stadium,Chennai,False
9771652,2015,48th Match,2015-05-11,SUNRISERS HYDERABAD vs KINGS XI PUNJAB,Sunrisers Hyderabad won by 5 runs,https://www.cricbuzz.com/cricket-scores/14641/srh-vs-kxip-48th-match-indian-premier-league-2015,Rajiv Gandhi International Stadium,Hyderabad,False
6954878,2015,49th Match,2015-05-12,DELHI CAPITALS vs CHENNAI SUPER KINGS,Delhi Daredevils won by 6 wkts,https://www.cricbuzz.com/cricket-scores/14642/dc-vs-csk-49th-match-indian-premier-league-2015,Shaheed Veer Narayan Singh International Stadium,Raipur,False
4797241,2015,50th Match,2015-05-13,KINGS XI PUNJAB vs ROYAL CHALLENGERS BANGALORE,Kings XI Punjab won by 22 runs,https://www.cricbuzz.com/cricket-scores/14643/kxip-vs-rcb-50th-match-indian-premier-league-2015,Punjab Cricket Association IS Bindra Stadium,Mohali,False
9739885,2015,51st Match,2015-05-14,MUMBAI INDIANS vs KOLKATA KNIGHT RIDERS,Mumbai Indians won by 5 runs,https://www.cricbuzz.com/cricket-scores/14644/mi-vs-kkr-51st-match-indian-premier-league-2015,Wankhede Stadium,Mumbai,False
2692006,2015,52nd Match,2015-05-15,SUNRISERS HYDERABAD vs ROYAL CHALLENGERS BANGALORE,Royal Challengers Bangalore won by 6 wkts (D/L method),https://www.cricbuzz.com/cricket-scores/14645/srh-vs-rcb-52nd-match-indian-premier-league-2015,Rajiv Gandhi International Stadium,Hyderabad,False
